iter	Passed	Remaining
873	7436	18090
874	7444	18079
875	7451	18067
876	7460	18060
877	7468	18049
878	7477	18041
879	7483	18028
880	7487	18009
881	7494	17997
882	7503	17988
883	7508	17973
884	7515	17960
885	7522	17948
886	7532	17943
887	7538	17929
888	7546	17920
889	7560	17923
890	7566	17910
891	7574	17899
892	7580	17886
893	7590	17881
894	7595	17864
895	7600	17848
896	7607	17835
897	7617	17831
898	7625	17821
899	7638	17823
900	7642	17804
901	7670	17840
902	7675	17825
903	7682	17812
904	7699	17822
905	7712	17824
906	7716	17806
907	7727	17804
908	7734	17791
909	7746	17792
910	7749	17771
911	7763	17775
912	7772	17767
913	7783	17763
914	7791	17755
915	7802	17751
916	7815	17752
917	7825	17748
918	7830	17730
919	7839	17724
920	7850	17721
921	7861	17717
922	7868	17706
923	7876	17697
924	7884	17686
925	7894	17680
926	7897	17659
927	7907	17654
928	7915	17646
929	7923	17637
930	7930	17623
931	7936	17609
932	7946	17604
933	7952	17590
934	7966	17594
935	7969	17574
936	7986	17584
937	8001	17590
938	8009	17580
939	8017	17570
940	8024	17557
941	8034	17553
942	8043	17546
943	8057	17549
944	8066	17541
945	8078	17539
946	8085	17529
947	8095	17523
948	8104	17514
949	8110	17502
950	8113	17480
951	8121	17470
952	8126	17455
953	8134	17445
954	8142	17436
955	8152	17431
956	8158	17416
957	8167	17409
958	8171	17391
959	8185	17394
960	8193	17384
961	8200	17373
962	8206	17358
963	8213	17346
964	8219	17333
965	8224	17317
966	8234	17312
967	8238	17293
968	8245	17283
969	8251	17267
970	8256	17253
971	8266	17248
972	8274	17238
973	8283	17230
974	8291	17221
975	8305	17223
976	8312	17212
977	8323	17208
978	8338	17213
979	8345	17202
980	8349	17183
981	8357	17173
982	8365	17164
983	8372	17152
984	8379	17142
985	8389	17135
986	8393	17118
987	8405	17116
988	8412	17105
989	8417	17090
990	8423	17076
991	8429	17062
992	8434	17047
993	8445	17044
994	8450	17028
995	8458	17018
996	8468	17012
997	8475	17002
998	8483	16992
999	8495	16991
1000	8501	16977
1001	8509	16967
1002	8518	16960
1003	8525	16948
1004	8540	16952
1005	8549	16945
1006	8560	16941
1007	8567	16931
1008	8579	16928
1009	8590	16926
1010	8597	16914
1011	8606	16907
1012	8616	16902
1013	8621	16886
1014	8625	16868
1015	8636	16864
1016	8643	16853
1017	8656	16854
1018	8666	16847
1019	8677	16845
1020	8686	16836
1021	8696	16831
1022	8705	16822
1023	8710	16809
1024	8723	16808
1025	8726	16790
1026	8733	16777
1027	8736	16758
1028	8746	16754
1029	8757	16749
1030	8764	16738
1031	8770	16725
1032	8777	16713
1033	8788	16709
1034	8800	16707
1035	8813	16707
1036	8821	16699
1037	8831	16692
1038	8842	16689
1039	8855	16688
1040	8860	16674
1041	8874	16675
1042	8879	16661
1043	8883	16643
1044	8891	16634
1045	8896	16618
1046	8906	16613
1047	8916	16608
1048	8922	16594
1049	8928	16581
1050	8938	16575
1051	8955	16582
1052	8965	16577
1053	8974	16569
1054	8981	16559
1055	8986	16542
1056	8999	16542
1057	9005	16529
1058	9014	16521
1059	9027	16521
1060	9037	16517
1061	9045	16507
1062	9055	16500
1063	9068	16501
1064	9075	16489
1065	9087	16487
1066	9092	16473
1067	9096	16454
